palette,appearance,role,raw,resolved,variant,minimum,raw_ratio,resolved_ratio,backgrounds
pearl,dark,chartPrimary,#c7c2b3,#c7c2b3,authored,4.5,7.097109,7.097109,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,chartSecondary,#6b8cab,#7c9ebd,contrast-enhanced,4.5,3.588511,4.501899,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,indicator,#eee9dc,#eee9dc,authored,3,10.423262,10.423262,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,effectSurface,#6b8cab,#6b8cab,authored,3,3.588511,3.588511,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,accentFillText,#171a20,#171a20,authored,4.5,14.376588,14.376588,#eee9dc
pearl,dark,effectText,#171a20,#171a20,authored,4.5,4.949559,4.949559,#6b8cab
graphite,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,accentText,#454646,#454646,authored,4.5,6.905778,6.905778,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,selectedAccent,#454646,#808281,contrast-enhanced,4.5,1.840215,4.504298,#171a20
graphite,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
graphite,light,focus,#454646,#454646,authored,3,6.905778,6.905778,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,chartPrimary,#7a807d,#5d6260,contrast-enhanced,4.5,2.938579,4.528842,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,chartSecondary,#305273,#305273,authored,4.5,5.935254,5.935254,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,indicator,#454646,#454646,authored,3,6.905778,6.905778,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,effectSurface,#305273,#305273,authored,3,5.935254,5.935254,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
graphite,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,8.610074,8.610074,#454646
graphite,light,effectText,#f4f4f4,#f4f4f4,authored,4.5,7.400033,7.400033,#305273
graphite,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,accentText,#454646,#999b9a,contrast-enhanced,4.5,1.334186,4.518163,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,selectedAccent,#454646,#454646,authored,4.5,8.610074,8.610074,#f4f4f4
graphite,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
graphite,dark,focus,#454646,#7a7c7b,contrast-enhanced,3,1.334186,3.006198,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,chartPrimary,#7a807d,#959c98,contrast-enhanced,4.5,3.135390,4.504374,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,chartSecondary,#305273,#799ec2,contrast-enhanced,4.5,1.552350,4.501993,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,indicator,#454646,#7a7c7b,contrast-enhanced,3,1.334186,3.006198,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,effectSurface,#305273,#5b7fa2,contrast-enhanced,3,1.552350,3.009638,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
graphite,dark,accentFillText,#171a20,#171a20,authored,4.5,6.231808,6.231808,#999b9a
graphite,dark,effectText,#171a20,#0e1117,contrast-enhanced,4.5,4.151131,4.501616,#5b7fa2
red,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,accentText,#ed2d24,#c50005,contrast-enhanced,4.5,3.061712,4.535757,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,selectedAccent,#ed2d24,#f5362c,contrast-enhanced,4.5,4.150657,4.519770,#171a20
red,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
red,light,focus,#ed2d24,#ed2d24,authored,3,3.061712,3.061712,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,chartPrimary,#ed1209,#c50200,contrast-enhanced,4.5,3.264262,4.527052,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,chartSecondary,#0a33b8,#0a33b8,authored,4.5,7.029306,7.029306,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,indicator,#ed2d24,#ed2d24,authored,3,3.061712,3.061712,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,effectSurface,#0a33b8,#0a33b8,authored,3,7.029306,7.029306,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
red,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.655149,5.655149,#c50005
red,light,effectText,#f4f4f4,#f4f4f4,authored,4.5,8.764089,8.764089,#0a33b8
red,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,accentText,#ed2d24,#ff6b5a,contrast-enhanced,4.5,3.009295,4.514010,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,selectedAccent,#ed2d24,#de1613,contrast-enhanced,4.5,3.817321,4.513672,#f4f4f4
red,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
red,dark,focus,#ed2d24,#ed2d24,authored,3,3.009295,3.009295,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,chartPrimary,#ed1209,#ff6b59,contrast-enhanced,4.5,2.822565,4.511975,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,chartSecondary,#0a33b8,#6998ff,contrast-enhanced,4.5,1.310740,4.534004,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,indicator,#ed2d24,#ed2d24,authored,3,3.009295,3.009295,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,effectSurface,#0a33b8,#3c73fa,contrast-enhanced,3,1.310740,3.023203,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
red,dark,accentFillText,#171a20,#171a20,authored,4.5,6.226080,6.226080,#ff6b5a
red,dark,effectText,#171a20,#0f1117,contrast-enhanced,4.5,4.169840,4.515244,#3c73fa
blue,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,accentText,#203c6e,#203c6e,authored,4.5,7.922675,7.922675,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,selectedAccent,#203c6e,#6283ba,contrast-enhanced,4.5,1.604018,4.543301,#171a20
blue,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
blue,light,focus,#203c6e,#203c6e,authored,3,7.922675,7.922675,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,chartPrimary,#0e3b8f,#0e3b8f,authored,4.5,7.503517,7.503517,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,chartSecondary,#c2d1e6,#556275,contrast-enhanced,4.5,1.129617,4.517096,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,indicator,#203c6e,#203c6e,authored,3,7.922675,7.922675,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,effectSurface,#c2d1e6,#717e92,contrast-enhanced,3,1.129617,3.001808,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
